,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2020-10-10,32.44075993682175,28.986046184638752,27.40698151756058,25.688662489806745,25.134534177936104,26.254956982984947,26.186559187705118,27.633609871358544,31.957752370505716,33.89402959448927,31.49015123420233,28.672125101406273,25.240494980901573,22.50294186169208,18.401296524187238,19.351381862959048,22.12713981986728,28.108921050264513,35.57181271846766,42.77451712883273,34.1416193835435,28.221350293290826,27.405573826144632,22.298789579202406
2020-10-11,25.487149084722596,23.35076641108288,21.753087638376684,20.546838597562626,21.06969788166044,21.02203980115398,19.67344157068832,22.723163292535165,28.471789900423143,31.66785800567432,30.541874978786016,31.84857532236499,29.62759645866502,26.152554721766545,23.88945172290184,24.98818789031427,29.678989644508412,37.085059904073134,44.74745374702676,49.13231837373729,45.094980254922035,39.289923862785784,37.803722504816356,33.745799387261215
2020-10-12,31.11647539517126,29.991398122753214,29.719131731407963,29.257426866288125,29.525708611419773,34.223352862974316,47.960317434206004,58.08603231095387,61.76568945573639,59.105918877788305,54.14348133338503,52.22104658943582,49.047927923884856,46.81957819162327,45.58972379867646,46.249528821901244,47.77956797548604,51.90849497023197,58.62557488990134,66.57988448362126,57.925853321651715,49.38732089133842,44.309264143513,40.04427643071534
