,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2020-10-11,28.95541091033379,26.701892816134812,26.455801186125413,23.853010237566032,23.84843327396397,23.270564698516935,21.976858876812635,21.36627492888932,22.648080352837706,26.309330711956036,26.12552504441321,27.401547686951183,26.05189951966072,23.78455461534073,20.61235574708887,21.87391383320346,24.594255214580123,33.13509470725017,40.06045429248836,44.692912558400664,39.48700352478636,35.22561646976763,34.954560474783214,30.667151546991185
2020-10-12,26.10296171392943,23.709425004499984,23.046298567254496,21.981934078920915,22.662487358862172,27.027315971001013,38.752421333616134,46.56629853001724,48.83484697555862,47.0496946313336,43.05668097660642,43.12785988779209,39.75972021104454,38.244071158490094,37.504396949147385,36.67514688651491,39.19683999645939,43.48300199039641,48.69704647293277,50.47639697620791,42.25116742979321,37.77655879020506,33.91507534211204,30.778273380665244
2020-10-13,31.80304864586845,29.977972337595837,28.321962109270352,28.060755950708042,28.849802984078945,32.502990802225405,39.789684287547445,45.54786787107063,50.37518669138306,48.79778887210174,44.98544403564928,42.60731165530957,39.2040172668577,36.694783722453096,35.502035786928964,35.1267912769767,37.8805203041422,41.57182977031351,45.274115835598025,47.510743677165046,43.32702042287746,38.86236850408175,37.02884565442731,33.54901575160409
2020-10-14,,,,,,,,,,,,,,,,,,,,,,,,
